athlete_id,event
1548941,Men -66 kg
1548941,Mixed Team
1548948,Individual All-Around
1548949,Mens Road Race
1548949,Mens Individual Time Trial
1548954,Women -63 kg
1548954,Mixed Team
1548958,Men
1548976,Group All-Around
1548985,Group All-Around
1548999,Group All-Around
1549016,Group All-Around
1549023,Group All-Around
1549030,10m Air Pistol Women
1549030,25m Pistol Women
1549041,Mens Individual
1549335,Womens Road Race
1549335,Womens Individual Time Trial
1549386,10m Air Pistol Men
1549446,Men
1549548,Men
1549970,Mens 100m Backstroke
1549970,Mens 200m Backstroke
1549971,Womens 200m Individual Medley
1550000,Mens Individual Stroke Play
1550005,Mens Singles
1550006,Mens Singles
1550011,Womens Singles
1550025,Women
1550027,Women
1550028,Women
1550031,Women
1550032,Women
1550035,Women
1550037,Mens Individual
1550042,Women
1550045,Women
1550051,Women
1550067,Womens Dinghy
1550072,Womens Doubles
1550072,Womens Singles
1550074,Womens Doubles
1550074,Womens Singles
1550075,Womens Doubles
1550088,Men -81 kg
1550089,Women -70 kg
1550108,Mens 100m
1550116,Mens Greco-Roman 87kg
1550119,Mens Greco-Roman 67kg
1550148,Womens 49kg
1550150,Mens Singles
1550154,Womens 71kg
1550162,Women -52 kg
1550164,Women -57 kg
1550167,Women -63 kg
1550168,Women -78 kg
1550169,Men -73 kg
1550170,Women
1550170,Womens All-Around
1550170,Womens Balance Beam
