athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1555185,8/8/2024,Bronze Medal,Boxing,Bulgaria,Javier IBANEZ DIAZ,7/14/1996,Male,165,0,3,1,3,7
1555372,8/7/2024,Gold Medal,Athletics,Morocco,Soufiane EL BAKKALI,1/7/1996,Male,196,0,1,0,1,2
1555537,8/7/2024,Gold Medal,Boxing,Cuba,Erislandy ALVAREZ BORGES,7/14/2000,Male,168,0,2,1,6,9
1555548,8/4/2024,Bronze Medal,Boxing,Cuba,Arlen LOPEZ CARDONA,2/21/1993,Male,170,0,2,1,6,9
1555976,8/1/2024,Silver Medal,Shooting,Ukraine,Serhiy KULISH,4/17/1993,Male,0,0,3,5,4,12
1556045,8/8/2024,Gold Medal,Boxing,Uzbekistan,Hasanboy DUSMATOV,6/24/1993,Male,156,0,8,2,3,13
1556049,8/10/2024,Gold Medal,Boxing,Uzbekistan,Abdumalik KHALOKOV,4/9/2000,Male,174,0,8,2,3,13
1556797,8/9/2024,Gold Medal,Boxing,Uzbekistan,Asadkhuja MUYDINKHUJAEV,5/8/2001,Male,174,0,8,2,3,13
1556860,8/9/2024,Gold Medal,Boxing,Uzbekistan,Lazizbek MULLOJONOV,5/13/1999,Male,192,0,8,2,3,13
1556869,8/10/2024,Gold Medal,Boxing,Uzbekistan,Bakhodir JALOLOV,7/8/1994,Male,201,0,8,2,3,13
1556873,8/9/2024,Gold Medal,Wrestling,Bulgaria,Magomed Eldarovitch RAMAZANOV,5/22/1993,Male,0,0,3,1,3,7
1558773,8/5/2024,Gold Medal,Triathlon,Germany,Laura LINDEMANN,6/26/1996,Female,0,0,12,13,8,33
1558775,8/5/2024,Gold Medal,Triathlon,Germany,Lasse LUEHRS,5/16/1996,Male,0,0,12,13,8,33
1558780,8/5/2024,Gold Medal,Triathlon,Germany,Tim HELLWIG,6/30/1999,Male,0,0,12,13,8,33
1558784,8/5/2024,Gold Medal,Triathlon,Germany,Lisa TERTSCH,12/1/1998,Female,0,0,12,13,8,33
1559387,8/11/2024,Bronze Medal,Wrestling,Albania,Islam DUDAEV,1/15/1995,Male,0,0,0,0,2,2
